date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:57	49984/49984	---M-Z	200	added ('OK')	text/html	etag:%22c340-65e1a10c-cdd8cf7ea89a3fb7;gz%22	https://html.ditsolution.net/echofy/index.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index.html	(from )
22:14:58	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-3f106da40eb297f2;gz%22	https://html.ditsolution.net/robots.txt		(from )
22:14:58	1202/1202	---M--	200	added ('OK')	image/png	etag:%224b2-65e1a13d-ea22afbdf232b43b;;;%22	https://html.ditsolution.net/echofy/assets/images/fav-icon/icon.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/fav-icon/icon.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:00	194901/194901	---M-Z	200	added ('OK')	text/css	etag:%222f955-65e1a13f-85736047792124a1;gz%22	https://html.ditsolution.net/echofy/assets/css/bootstrap.min.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/bootstrap.min.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:00	2926/2926	---M-Z	200	added ('OK')	text/css	etag:%22b6e-65e1a13f-11847dafd53cce03;gz%22	https://html.ditsolution.net/echofy/assets/css/owl.carousel.min.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/owl.carousel.min.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:00	59715/59715	---M-Z	200	added ('OK')	text/css	etag:%22e943-65e1a13d-d11f52454ac59d6d;gz%22	https://html.ditsolution.net/echofy/assets/css/animate.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/animate.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:01	20082/20082	---M-Z	200	added ('OK')	text/css	etag:%224e72-65e1a13d-4b57b727837d7ce8;gz%22	https://html.ditsolution.net/echofy/assets/css/animated-text.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/animated-text.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:01	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-65e1a13d-ce08b317ec269f8c;gz%22	https://html.ditsolution.net/echofy/assets/css/all.min.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/all.min.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:02	7226/7226	---M-Z	200	added ('OK')	text/css	etag:%221c3a-65e1a13e-447e7bb734752d9b;gz%22	https://html.ditsolution.net/echofy/assets/css/flaticon.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/flaticon.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:02	12627/12627	---M-Z	200	added ('OK')	text/css	etag:%223153-65e1a13f-d00a0b9aff574246;gz%22	https://html.ditsolution.net/echofy/assets/css/theme-default.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/theme-default.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:03	3560/3560	---M-Z	200	added ('OK')	text/css	etag:%22de8-65e1a13e-1b6b3d77fedcdb6a;gz%22	https://html.ditsolution.net/echofy/assets/css/meanmenu.min.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/meanmenu.min.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:03	4476/4476	---M-Z	200	added ('OK')	text/css	etag:%22117c-65e1a13f-e0e7256d6ce541fa;gz%22	https://html.ditsolution.net/echofy/assets/css/owl.transitions.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/owl.transitions.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:03	7604/7604	---M-Z	200	added ('OK')	text/css	etag:%221db4-65e1a10d-b4c564d5277a37e5;gz%22	https://html.ditsolution.net/echofy/venobox/venobox.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/venobox/venobox.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:04	88585/88585	---M-Z	200	added ('OK')	text/css	etag:%2215a09-65e1a13e-97ea10bd1cb7c75a;gz%22	https://html.ditsolution.net/echofy/assets/css/bootstrap-icons.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/bootstrap-icons.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:04	188542/188542	---M-Z	200	added ('OK')	text/css	etag:%222e07e-65e1a13f-90ba107948af4f12;gz%22	https://html.ditsolution.net/echofy/assets/css/style.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/style.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:05	92855/92855	---M-Z	200	added ('OK')	text/css	etag:%2216ab7-65e1a13f-89e49e5f8e7c29a2;gz%22	https://html.ditsolution.net/echofy/assets/css/responsive.css	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/css/responsive.css	(from https://html.ditsolution.net/echofy/index.html)
22:15:05	8636/8636	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221bc-65e1a114-6e8321a96235e136;gz%22	https://html.ditsolution.net/echofy/assets/js/vendor/modernizr-3.5.0.min.js	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/js/vendor/modernizr-3.5.0.min.js	(from https://html.ditsolution.net/echofy/index.html)
22:15:05	1550/1550	---M--	200	added ('OK')	image/png	etag:%2260e-65e1a139-2d1ed46395d320b7;;;%22	https://html.ditsolution.net/echofy/assets/images/Acceuil1/logo.png	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/assets/images/Acceuil1/logo.png	(from https://html.ditsolution.net/echofy/index.html)
22:15:06	55307/55307	---M-Z	200	added ('OK')	text/html	etag:%22d80b-65e1a10b-eefcad8ae1d98cf4;gz%22	https://html.ditsolution.net/echofy/index-2.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-2.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:06	45485/45485	---M-Z	200	added ('OK')	text/html	etag:%22b1ad-65e1a10c-31a9fd445e69d374;gz%22	https://html.ditsolution.net/echofy/index-3.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-3.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:07	51885/51885	---M-Z	200	added ('OK')	text/html	etag:%22caad-65e1a10c-75a9d23f8afe92ca;gz%22	https://html.ditsolution.net/echofy/index-4.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-4.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:07	55109/55109	---M-Z	200	added ('OK')	text/html	etag:%22d745-65e1a10c-f488c5461fe012ed;gz%22	https://html.ditsolution.net/echofy/index-5.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-5.html	(from https://html.ditsolution.net/echofy/index.html)
